PlotID,PINumber,Row,Column,Block,Treatment,DaysToFlower,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBrancSufficientNitrogeno,BranchInternodeLength,ProteinPCT,OilPCT,FiberPCT,AshPCT,StarchPCT,KernelColor
5108,PI 629040,18,23,5,SufficientNitrogen,67.0,43.8,12.34,N,9.0,54.5,490.5,37.4,4.0,13.0,91.0,74.0,7.7,1.0,26.16,11.78,26.03,7.73,5.46,72.0,1.3,10.42,13.82,4.57,1.74,69.25,Orange
5109,PI 656008,19,23,5,SufficientNitrogen,68.0,38.6,5.8,N,7.0,102.1,714.7,42.4,6.7,13.0,118.0,69.5,9.0,0.67,24.72,13.08,33.4,9.59,4.03,63.5,2.35,9.89,9.9,5.05,1.3,73.72,White
5110,PI 533997,20,23,5,SufficientNitrogen,56.0,39.2,3.03,N,33.0,35.4,1168.2,45.0,5.2,8.0,127.0,58.5,7.2,1.67,19.8,12.38,8.4,8.5,5.77,56.67,4.63,10.21,13.3,3.78,1.53,72.44,White
5112,PI 656003,22,23,5,SufficientNitrogen,57.0,60.1,,Y,4.0,,,42.4,5.0,9.0,53.0,55.0,7.0,0.0,23.99,9.92,15.1,7.98,4.61,40.0,2.8,,,,,,
5113,PI 533956,23,23,5,SufficientNitrogen,62.0,46.4,6.9,Y,7.0,27.7,193.9,27.5,6.7,11.0,77.0,53.5,7.3,0.33,26.44,11.41,29.07,8.68,3.9,55.67,2.87,10.29,15.07,4.42,1.81,70.75,Mustard
5114,PI 656012,24,23,5,SufficientNitrogen,65.0,65.4,7.82,N,11.0,,,42.3,7.8,13.0,110.0,66.5,10.3,1.33,24.6,10.73,9.63,8.51,4.01,66.33,2.2,9.9,11.77,4.91,1.48,73.27,White
5115,PI 656087,25,23,5,SufficientNitrogen,55.0,40.0,4.24,N,16.0,54.7,875.2,41.0,5.5,12.0,99.0,73.5,6.5,0.33,17.89,7.16,7.4,4.17,3.43,19.33,5.27,10.12,13.46,3.93,1.7,71.84,White
5116,PI 533845,26,23,5,SufficientNitrogen,64.0,58.2,6.75,N,25.0,26.5,662.5,25.4,4.0,10.0,80.0,57.5,6.5,0.0,21.95,10.39,22.97,6.1,3.94,64.67,2.57,10.65,13.51,4.46,1.52,70.44,White
5117,PI 534145,27,23,5,SufficientNitrogen,50.0,52.1,13.6,N,37.0,15.4,569.8,38.0,4.1,8.0,95.0,65.0,5.6,2.33,19.55,7.34,34.93,4.58,1.7,38.67,1.93,10.18,12.05,2.58,1.48,66.91,Grey
5118,PI 656105,15,22,5,SufficientNitrogen,60.0,38.2,5.55,N,21.0,27.1,569.1,52.6,5.7,11.0,57.0,64.0,6.4,0.0,19.8,8.34,12.7,6.7,4.91,50.0,1.5,10.37,13.04,4.55,1.58,69.4,Orange
